,taxon_name_w_authors,previous_chain_accepted_name_w_author,202406_taxon_name_w_authors,202406_chained_accepted_name_w_author,202406_chained_accepted_species,202406_direct_accepted_name_w_author,202406_direct_accepted_species,202406_chained_accepted_genus,202406_direct_accepted_genus
32012,Osteospermum coriaceum var. coriaceum ,Phymaspermum junceum Less.,Phymaspermum junceum Less.,Phymaspermum junceum Less.,Phymaspermum junceum,Osteospermum junceum P.J.Bergius,Osteospermum junceum,Phymaspermum,Osteospermum
32075,Piptothrix jaliscensis B.L.Rob.,Ageratina jaliscensis (B.L.Rob.) D.Gage ex B.L.Turner,Ageratina jaliscensis (B.L.Rob.) D.Gage ex B.L.Turner,Ageratina jaliscensis (B.L.Rob.) D.Gage ex B.L.Turner,Ageratina jaliscensis,Piptothrix jaliscensis B.L.Rob.,Piptothrix jaliscensis,Ageratina,Piptothrix
32100,Gochnatia lucida (Baker) Cabrera,Moquiniastrum oligocephalum (Gardner) G.Sancho,Moquiniastrum oligocephalum (Gardner) G.Sancho,Moquiniastrum oligocephalum (Gardner) G.Sancho,Moquiniastrum oligocephalum,Gochnatia lucida (Baker) Cabrera,Gochnatia lucida,Moquiniastrum,Gochnatia
32136,Senecio densiflorus Wall.,Synotis cappa (Buch.-Ham. ex D.Don) C.Jeffrey & Y.L.Chen,Synotis cappa (Buch.-Ham. ex D.Don) C.Jeffrey & Y.L.Chen,Synotis cappa (Buch.-Ham. ex D.Don) C.Jeffrey & Y.L.Chen,Synotis cappa,Senecio densiflorus Wall.,Senecio densiflorus,Synotis,Senecio
32150,Achillea millefolium subsp. balearica Sennen,Achillea millefolium L.,Achillea millefolium L.,Achillea millefolium L.,Achillea millefolium,Aspilia foliacea Baker,Aspilia foliacea,Achillea,Aspilia
32245,Aplotaxis denticulata var. hypoleuca DC.,Shangwua denticulata (DC.) Raab-Straube & Yu J.Wang,Shangwua denticulata (DC.) Raab-Straube & Yu J.Wang,Shangwua denticulata (DC.) Raab-Straube & Yu J.Wang,Shangwua denticulata,Saussurea fastuosa (Decne.) Sch.Bip.,Saussurea fastuosa,Shangwua,Saussurea
32252,Gnaphalium balcanicum Velen.,Argyrotegium poliochlorum (N.G.Walsh) J.M.Ward & Breitw.,Argyrotegium poliochlorum (N.G.Walsh) J.M.Ward & Breitw.,Argyrotegium poliochlorum (N.G.Walsh) J.M.Ward & Breitw.,Argyrotegium poliochlorum,Gnaphalium supinum L.,Gnaphalium supinum,Argyrotegium,Gnaphalium
32266,Cineraria racemosa M.Bieb.,Jacobaea racemosa subsp. racemosa ,Jacobaea racemosa subsp. racemosa ,Jacobaea racemosa subsp. racemosa ,Jacobaea racemosa,Senecio racemosus (M.Bieb.) DC.,Senecio racemosus,Jacobaea,Senecio
32293,Pogonolepis muelleriana (Sond.) P.S.Short,Chthonocephalus muellerianus P.S.Short,Chthonocephalus muellerianus P.S.Short,Chthonocephalus muellerianus P.S.Short,Chthonocephalus muellerianus,Pogonolepis muelleriana (Sond.) P.S.Short,Pogonolepis muelleriana,Chthonocephalus,Pogonolepis
32390,Ageratinastrum fruticosum (O.Hoffm.) Mattf.,Gutenbergia fruticosa (O.Hoffm.) C.Jeffrey,Gutenbergia fruticosa (O.Hoffm.) C.Jeffrey,Gutenbergia fruticosa (O.Hoffm.) C.Jeffrey,Gutenbergia fruticosa,Ageratinastrum fruticosum (O.Hoffm.) Mattf.,Ageratinastrum fruticosum,Gutenbergia,Ageratinastrum
32440,Achillea submillefolium Klokov & Krytzka,Achillea millefolium L.,Achillea millefolium L.,Achillea millefolium L.,Achillea millefolium,Aspilia foliacea Baker,Aspilia foliacea,Achillea,Aspilia
32459,Eupatorium decumbens var. stenum B.L.Rob.,Praxelis decumbens (Gardner) Teles & R.Esteves,Praxelis decumbens (Gardner) Teles & R.Esteves,Praxelis decumbens (Gardner) Teles & R.Esteves,Praxelis decumbens,Chromolaena decumbens Gardner,Chromolaena decumbens,Praxelis,Chromolaena
32479,Vernonia kroneana Miq.,Cyanthillium cinereum (L.) H.Rob.,Cyanthillium cinereum (L.) H.Rob.,Cyanthillium cinereum (L.) H.Rob.,Cyanthillium cinereum,Vernonia kroneana Miq.,Vernonia kroneana,Cyanthillium,Vernonia
32480,Vernonia sanctae-mariae Drake,Vernoniopsis caudata (Drake) Humbert,Vernoniopsis caudata (Drake) Humbert,Vernoniopsis caudata (Drake) Humbert,Vernoniopsis caudata,Vernonia sanctae-mariae Drake,Vernonia sanctae-mariae,Vernoniopsis,Vernonia
32645,Saussurea radiata Franch.,Himalaiella deltoidea (DC.) Raab-Straube,Himalaiella deltoidea (DC.) Raab-Straube,Himalaiella deltoidea (DC.) Raab-Straube,Himalaiella deltoidea,Saussurea radiata Franch.,Saussurea radiata,Himalaiella,Saussurea
32729,Baccharis scabridula Brandegee,Archibaccharis asperifolia S.F.Blake,Archibaccharis asperifolia S.F.Blake,Archibaccharis asperifolia S.F.Blake,Archibaccharis asperifolia,Baccharis scabridula Brandegee,Baccharis scabridula,Archibaccharis,Baccharis
32803,Erigeron gouanii Jacq.,Nidorella aegyptiaca (L.) J.C.Manning & Goldblatt,Nidorella aegyptiaca (L.) J.C.Manning & Goldblatt,Nidorella aegyptiaca (L.) J.C.Manning & Goldblatt,Nidorella aegyptiaca,Erigeron aegyptiacus L.,Erigeron aegyptiacus,Nidorella,Erigeron
32820,Cineraria solidaginifolia Fisch. ex Ledeb.,Jacobaea racemosa subsp. racemosa ,Jacobaea racemosa subsp. racemosa ,Jacobaea racemosa subsp. racemosa ,Jacobaea racemosa,Senecio racemosus (M.Bieb.) DC.,Senecio racemosus,Jacobaea,Senecio
32861,Senecio pleniauritus Cuatrec.,Pentacalia pleniaurita (Cuatrec.) Cuatrec.,Pentacalia pleniaurita (Cuatrec.) Cuatrec.,Pentacalia pleniaurita (Cuatrec.) Cuatrec.,Pentacalia pleniaurita,Senecio pleniauritus Cuatrec.,Senecio pleniauritus,Pentacalia,Senecio
32869,Erigeron latisquamatus Maxim.,Symphyotrichum ciliatum (Ledeb.) G.L.Nesom,Symphyotrichum ciliatum (Ledeb.) G.L.Nesom,Symphyotrichum ciliatum (Ledeb.) G.L.Nesom,Symphyotrichum ciliatum,Aster latisquamatus (Maxim.) Hand.-Mazz.,Aster latisquamatus,Symphyotrichum,Aster
32997,Osteospermum clandestinum (Less.) Norl.,Osteospermum monstrosum (Burm.f.) J.C.Manning & Goldblatt,Osteospermum monstrosum (Burm.f.) J.C.Manning & Goldblatt,Osteospermum monstrosum (Burm.f.) J.C.Manning & Goldblatt,Osteospermum monstrosum,Monoculus monstrosus (Burm.f.) B.Nord.,Monoculus monstrosus,Osteospermum,Monoculus
33116,Baccharis vulneraria Baker,Archibaccharis vulneraria (Baker) Heering ex Malag.,Archibaccharis vulneraria (Baker) Heering ex Malag.,Archibaccharis vulneraria (Baker) Heering ex Malag.,Archibaccharis vulneraria,Baccharis vulneraria Baker,Baccharis vulneraria,Archibaccharis,Baccharis
33162,Zexmenia monocephala (DC.) Heynh.,Lasianthaea fruticosa (L.) K.M.Becker,Lasianthaea fruticosa (L.) K.M.Becker,Lasianthaea fruticosa (L.) K.M.Becker,Lasianthaea fruticosa,Zexmenia monocephala (DC.) Heynh.,Zexmenia monocephala,Lasianthaea,Zexmenia
33170,Erigeron triplinervis Sch.Bip. ex Baker,Archibaccharis vulneraria (Baker) Heering ex Malag.,Archibaccharis vulneraria (Baker) Heering ex Malag.,Archibaccharis vulneraria (Baker) Heering ex Malag.,Archibaccharis vulneraria,Baccharis vulneraria Baker,Baccharis vulneraria,Archibaccharis,Baccharis
33191,Aster kayserianus Schur,Symphyotrichum × salignum (Willd.) G.L.Nesom,Symphyotrichum × salignum (Willd.) G.L.Nesom,Symphyotrichum × salignum (Willd.) G.L.Nesom,Symphyotrichum salignum,Aster kayserianus Schur,Aster kayserianus,Symphyotrichum,Aster
33227,Cirsium arvense subsp. vestitum (Wimm. & Grab.) Petr.,Cirsium arvense (L.) Scop.,Cirsium arvense (L.) Scop.,Cirsium arvense (L.) Scop.,Cirsium arvense,Dasyphyllum tomentosum var. multiflorum (Baker) Cabrera,Dasyphyllum tomentosum,Cirsium,Dasyphyllum
33242,Senecio stenodon Urb.,Elekmania stenodon (Urb.) B.Nord.,Elekmania stenodon (Urb.) B.Nord.,Elekmania stenodon (Urb.) B.Nord.,Elekmania stenodon,Senecio stenodon Urb.,Senecio stenodon,Elekmania,Senecio
33286,Senecio erythropappus Bureau & Franch.,Synotis erythropappa (Bureau & Franch.) C.Jeffrey & Y.L.Chen,Synotis erythropappa (Bureau & Franch.) C.Jeffrey & Y.L.Chen,Synotis erythropappa (Bureau & Franch.) C.Jeffrey & Y.L.Chen,Synotis erythropappa,Senecio erythropappus Bureau & Franch.,Senecio erythropappus,Synotis,Senecio
33342,Inula candida subsp. methanaea (Hausskn.) Hayek,"Pentanema verbascifolium (Willd.) D.Gut.Larr., Santos-Vicente, Anderb., E.Rico & M.M.Mart.Ort.","Pentanema verbascifolium (Willd.) D.Gut.Larr., Santos-Vicente, Anderb., E.Rico & M.M.Mart.Ort.","Pentanema verbascifolium (Willd.) D.Gut.Larr., Santos-Vicente, Anderb., E.Rico & M.M.Mart.Ort.",Pentanema verbascifolium,Inula methanaea Hausskn.,Inula methanaea,Pentanema,Inula
33369,Inula attica Halácsy,"Pentanema verbascifolium (Willd.) D.Gut.Larr., Santos-Vicente, Anderb., E.Rico & M.M.Mart.Ort.","Pentanema verbascifolium (Willd.) D.Gut.Larr., Santos-Vicente, Anderb., E.Rico & M.M.Mart.Ort.","Pentanema verbascifolium (Willd.) D.Gut.Larr., Santos-Vicente, Anderb., E.Rico & M.M.Mart.Ort.",Pentanema verbascifolium,Inula methanaea Hausskn.,Inula methanaea,Pentanema,Inula
33406,Tripteris herbacea E.Mey. ex DC.,Osteospermum monstrosum (Burm.f.) J.C.Manning & Goldblatt,Osteospermum monstrosum (Burm.f.) J.C.Manning & Goldblatt,Osteospermum monstrosum (Burm.f.) J.C.Manning & Goldblatt,Osteospermum monstrosum,Monoculus monstrosus (Burm.f.) B.Nord.,Monoculus monstrosus,Osteospermum,Monoculus
33420,Lactuca pancicii (Vis.) N.Kilian & Greuter,Cicerbita pancicii Beauverd,Cicerbita pancicii Beauverd,Cicerbita pancicii Beauverd,Cicerbita pancicii,Lactuca pancicii (Vis.) N.Kilian & Greuter,Lactuca pancicii,Cicerbita,Lactuca
33501,Polychrysum tadshikorum (Kudr.) Kovalevsk.,Lepidolopsis tadshikorum (Kudr.) Poljakov,Lepidolopsis tadshikorum (Kudr.) Poljakov,Lepidolopsis tadshikorum (Kudr.) Poljakov,Lepidolopsis tadshikorum,Polychrysum tadshikorum (Kudr.) Kovalevsk.,Polychrysum tadshikorum,Lepidolopsis,Polychrysum
33626,Gnaphalium jamaicense Urb.,Pseudognaphalium domingense (Lam.) Anderb.,Pseudognaphalium domingense (Lam.) Anderb.,Pseudognaphalium domingense (Lam.) Anderb.,Pseudognaphalium domingense,Gnaphalium jamaicense Urb.,Gnaphalium jamaicense,Pseudognaphalium,Gnaphalium
33628,Achillea magna L.,Achillea millefolium L.,Achillea millefolium L.,Achillea millefolium L.,Achillea millefolium,Aspilia foliacea Baker,Aspilia foliacea,Achillea,Aspilia
33635,Phaeostigma variifolium var. ramosum (C.C.Chang) Muldashev,Ajania ramosa (Chang) C.Shih,Ajania ramosa (Chang) C.Shih,Ajania ramosa (Chang) C.Shih,Ajania ramosa,Chrysanthemum ramosum (C.C.Chang) H.Ohashi & Yonek.,Chrysanthemum ramosum,Ajania,Chrysanthemum
33642,Hieracium absonum J.F.Macbr. & Payson,Pilosella scouleri F.W.Schultz & Sch.Bip.,Pilosella scouleri F.W.Schultz & Sch.Bip.,Pilosella scouleri F.W.Schultz & Sch.Bip.,Pilosella scouleri,Hieracium scouleri Hook.,Hieracium scouleri,Pilosella,Hieracium
33662,Senecio merendonensis Ant.Molina,Psacaliopsis pinetorum (Hemsl.) Funston & Villaseñor,Psacaliopsis pinetorum (Hemsl.) Funston & Villaseñor,Roldana pinetorum (Hemsl.) H.Rob. & Brettell,Roldana pinetorum,Senecio merendonensis Ant.Molina,Senecio merendonensis,Roldana,Senecio
33675,Graphistylis serrana (Zardini) D.J.N.Hind,Senecio serranus Zardini,Senecio serranus Zardini,Senecio serranus Zardini,Senecio serranus,Graphistylis serrana (Zardini) B.Nord.,Graphistylis serrana,Senecio,Graphistylis
33704,Othonna rechingeri B.Nord.,Crassothonna rechingeri (B.Nord.) B.Nord.,Crassothonna rechingeri (B.Nord.) B.Nord.,Crassothonna rechingeri (B.Nord.) B.Nord.,Crassothonna rechingeri,Othonna rechingeri B.Nord.,Othonna rechingeri,Crassothonna,Othonna
34011,Solidago gymnospermoides var. gymnospermoides ,Euthamia gymnospermoides Greene,Euthamia gymnospermoides Greene,Euthamia gymnospermoides Greene,Euthamia gymnospermoides,Solidago gymnospermoides (Greene) Fernald,Solidago gymnospermoides,Euthamia,Solidago
34070,Vernonia nitens Steud.,Lepidaploa arborescens (L.) H.Rob.,Lepidaploa arborescens (L.) H.Rob.,Lepidaploa arborescens (L.) H.Rob.,Lepidaploa arborescens,Vernonia arborescens (L.) Sw.,Vernonia arborescens,Lepidaploa,Vernonia
34071,Trichocline eriopus Baker,Prestelia eriopus Sch.Bip.,Prestelia eriopus Sch.Bip.,Prestelia eriopus Sch.Bip.,Prestelia eriopus,Trichocline eriopus Baker,Trichocline eriopus,Prestelia,Trichocline
34078,Inula pterocaula Franch.,Duhaldea pterocaula (Franch.) Anderb.,Duhaldea pterocaula (Franch.) Anderb.,Duhaldea pterocaula (Franch.) Anderb.,Duhaldea pterocaula,Inula pterocaula Franch.,Inula pterocaula,Duhaldea,Inula
34106,Vernonia reticulata Willd.,Lessingianthus bardanoides (Less.) H.Rob.,Lessingianthus bardanoides (Less.) H.Rob.,Lessingianthus bardanoides (Less.) H.Rob.,Lessingianthus bardanoides,Lepidaploa canescens (Kunth) H.Rob.,Lepidaploa canescens,Lessingianthus,Lepidaploa
34212,Viguiera acuminata Benth.,Oyedaea verbesinoides DC.,Oyedaea verbesinoides DC.,Oyedaea verbesinoides DC.,Oyedaea verbesinoides,Viguiera acuminata Benth.,Viguiera acuminata,Oyedaea,Viguiera
34249,Hymenothrix glandulosa S.Watson,Hymenopappus glandulosus Rydb.,Hymenopappus glandulosus Rydb.,Hymenopappus glandulosus Rydb.,Hymenopappus glandulosus,Hymenothrix glandulosa S.Watson,Hymenothrix glandulosa,Hymenopappus,Hymenothrix
34261,Chamomilla aurea J.Gay,Matricaria aurea (Loefl.) Sch.Bip.,Matricaria aurea (Loefl.) Sch.Bip.,Matricaria aurea (Loefl.) Sch.Bip.,Matricaria aurea,Chamaemelum nobile All.,Chamaemelum nobile,Matricaria,Chamaemelum
34333,Claotrachelus rupestris var. glabra Zoll. & Mor.,Cyanthillium cinereum (L.) H.Rob.,Cyanthillium cinereum (L.) H.Rob.,Cyanthillium cinereum (L.) H.Rob.,Cyanthillium cinereum,Vernonia zollingeriana Sch.Bip.,Vernonia zollingeriana,Cyanthillium,Vernonia
34338,Eupatorium littorale Alain,Koanophyllon littorale R.M.King & H.Rob.,Koanophyllon littorale R.M.King & H.Rob.,Koanophyllon littorale R.M.King & H.Rob.,Koanophyllon littorale,Eupatorium littorale Alain,Eupatorium littorale,Koanophyllon,Eupatorium
34355,Mulgedium pancicii Vis.,Cicerbita pancicii Beauverd,Cicerbita pancicii Beauverd,Cicerbita pancicii Beauverd,Cicerbita pancicii,Lactuca pancicii (Vis.) N.Kilian & Greuter,Lactuca pancicii,Cicerbita,Lactuca
34397,Dicoma latifolia DC.,Dicoma spinosa Druce,Dicoma spinosa Druce,Dicoma spinosa Druce,Dicoma spinosa,Macledium latifolium (DC.) S.Ortiz,Macledium latifolium,Dicoma,Macledium
34438,Monticalia angustifolia (Kunth) B.Nord.,Barkleyanthus salicifolius (Kunth) H.Rob. & Brettell,Barkleyanthus salicifolius (Kunth) H.Rob. & Brettell,Barkleyanthus salicifolius (Kunth) H.Rob. & Brettell,Barkleyanthus salicifolius,Monticalia angustifolia (Kunth) B.Nord.,Monticalia angustifolia,Barkleyanthus,Monticalia
34452,Senecio quebradensis Greenm.,Packera quebradensis (Greenm.) W.A.Weber & Á.Löve,Packera quebradensis (Greenm.) W.A.Weber & Á.Löve,Packera quebradensis (Greenm.) W.A.Weber & Á.Löve,Packera quebradensis,Senecio quebradensis Greenm.,Senecio quebradensis,Packera,Senecio
34487,Cacalia secundifolia Kuntze,Strobocalyx secundifolia Sch.Bip.,Strobocalyx secundifolia Sch.Bip.,Strobocalyx secundifolia Sch.Bip.,Strobocalyx secundifolia,Gymnanthemum secundifolium (Bojer ex DC.) H.Rob.,Gymnanthemum secundifolium,Strobocalyx,Gymnanthemum
34511,Parasenecio yatabei var. occidentalis (F.Maek. ex Kitam.) H.Koyama,Taimingasa yatabei var. occidentalis (F.Maek. ex Kitam.) C.Ren & Q.E.Yang,Taimingasa yatabei var. occidentalis (F.Maek. ex Kitam.) C.Ren & Q.E.Yang,Taimingasa yatabei var. occidentalis (F.Maek. ex Kitam.) C.Ren & Q.E.Yang,Taimingasa yatabei,Parasenecio yatabei var. occidentalis (F.Maek. ex Kitam.) H.Koyama,Parasenecio yatabei,Taimingasa,Parasenecio
34529,Stylesia puberula Nutt.,Eriophyllum ambrosiodes Kuntze,Eriophyllum ambrosiodes Kuntze,Eriophyllum ambrosiodes Kuntze,Eriophyllum ambrosiodes,Bahia ambrosioides Lag.,Bahia ambrosioides,Eriophyllum,Bahia
34540,Chrysanthemum variifolium var. ramosum C.C.Chang,Ajania ramosa (Chang) C.Shih,Ajania ramosa (Chang) C.Shih,Ajania ramosa (Chang) C.Shih,Ajania ramosa,Chrysanthemum ramosum (C.C.Chang) H.Ohashi & Yonek.,Chrysanthemum ramosum,Ajania,Chrysanthemum
34571,Tripteris hyoseroides var. echinocarpa DC.,Osteospermum monstrosum (Burm.f.) J.C.Manning & Goldblatt,Osteospermum monstrosum (Burm.f.) J.C.Manning & Goldblatt,Osteospermum monstrosum (Burm.f.) J.C.Manning & Goldblatt,Osteospermum monstrosum,Monoculus monstrosus (Burm.f.) B.Nord.,Monoculus monstrosus,Osteospermum,Monoculus
34579,Seris discoidea Less.,Moquiniastrum argyreum (Dusén ex Malme) G.Sancho,Moquiniastrum argyreum (Dusén ex Malme) G.Sancho,Moquiniastrum argyreum (Dusén ex Malme) G.Sancho,Moquiniastrum argyreum,Richterago discoidea (Less.) Kuntze,Richterago discoidea,Moquiniastrum,Richterago
34607,"Anthemis sancti-johannis Stoj., Stef. & Turrill","Cota tinctoria subsp. sancti-johannis (Stoj., Stef. & Turrill) Oberpr. & Greuter","Cota tinctoria subsp. sancti-johannis (Stoj., Stef. & Turrill) Oberpr. & Greuter","Cota tinctoria subsp. sancti-johannis (Stoj., Stef. & Turrill) Oberpr. & Greuter",Cota tinctoria,"Anthemis sancti-johannis Stoj., Stef. & Turrill",Anthemis sancti-johannis,Cota,Anthemis
34642,Machaeranthera crispa (Brandegee) B.L.Turner & D.B.Horne,Leucosyris crispa (Brandegee) Pruski & R.L.Hartm.,Leucosyris crispa (Brandegee) Pruski & R.L.Hartm.,Leucosyris crispa (Brandegee) Pruski & R.L.Hartm.,Leucosyris crispa,Machaeranthera crispa (Brandegee) B.L.Turner & D.B.Horne,Machaeranthera crispa,Leucosyris,Machaeranthera
34650,Vernonia brachylepis Griseb.,Centratherum punctatum Cass.,Centratherum punctatum Cass.,Centratherum punctatum Cass.,Centratherum punctatum,Vernonia brachylepis Griseb.,Vernonia brachylepis,Centratherum,Vernonia
34669,Chrysanthemum tanacetum Vis.,Tanacetum balsamita L.,Tanacetum balsamita L.,Tanacetum balsamita L.,Tanacetum balsamita,Chrysanthemum vulgare (L.) Bernh.,Chrysanthemum vulgare,Tanacetum,Chrysanthemum
34709,Eupatorium brevipetiolatum Baker ex Hieron.,Grazielia brevipetiolata (Sch.Bip. ex Baker) R.M.King & H.Rob.,Grazielia brevipetiolata (Sch.Bip. ex Baker) R.M.King & H.Rob.,Grazielia brevipetiolata (Sch.Bip. ex Baker) R.M.King & H.Rob.,Grazielia brevipetiolata,Eupatorium hieronymi S.E.Freire,Eupatorium hieronymi,Grazielia,Eupatorium
34716,Tripleurospermum tchihatchewii (Boiss.) Bornm.,Tripleurospermum breviradiatum (Ledeb.) Pobed.,Tripleurospermum breviradiatum (Ledeb.) Pobed.,Matricaria breviradiata (Ledeb.) Rauschert,Matricaria breviradiata,Tripleurospermum caucasicum (Willd.) Hayek,Tripleurospermum caucasicum,Matricaria,Tripleurospermum
34824,Barroetea glutinosa Brandegee,Brickellia problematica B.L.Turner,Brickellia problematica B.L.Turner,Brickellia problematica B.L.Turner,Brickellia problematica,Phanerostylis glutinosa (Brandegee) R.M.King & H.Rob.,Phanerostylis glutinosa,Brickellia,Phanerostylis
34863,Inula bifrons L.,"Pentanema bifrons (L.) D.Gut.Larr., Santos-Vicente, Anderb., E.Rico & M.M.Mart.Ort.","Pentanema bifrons (L.) D.Gut.Larr., Santos-Vicente, Anderb., E.Rico & M.M.Mart.Ort.","Pentanema bifrons (L.) D.Gut.Larr., Santos-Vicente, Anderb., E.Rico & M.M.Mart.Ort.",Pentanema bifrons,Inula bifrons L.,Inula bifrons,Pentanema,Inula
34872,Tripleurospermum subnivale Pobed.,Tripleurospermum breviradiatum (Ledeb.) Pobed.,Tripleurospermum breviradiatum (Ledeb.) Pobed.,Matricaria breviradiata (Ledeb.) Rauschert,Matricaria breviradiata,Tripleurospermum caucasicum (Willd.) Hayek,Tripleurospermum caucasicum,Matricaria,Tripleurospermum
34875,Aster germanicus (L.) Cav.,"Pentanema germanicum (L.) D.Gut.Larr., Santos-Vicente, Anderb., E.Rico & M.M.Mart.Ort.","Pentanema germanicum (L.) D.Gut.Larr., Santos-Vicente, Anderb., E.Rico & M.M.Mart.Ort.","Pentanema germanicum (L.) D.Gut.Larr., Santos-Vicente, Anderb., E.Rico & M.M.Mart.Ort.",Pentanema germanicum,Inula germanica L.,Inula germanica,Pentanema,Inula
34885,Othonna opima Merxm.,Crassothonna opima (Merxm.) B.Nord.,Crassothonna opima (Merxm.) B.Nord.,Crassothonna opima (Merxm.) B.Nord.,Crassothonna opima,Othonna opima Merxm.,Othonna opima,Crassothonna,Othonna
34992,Vernonia fandrarazanensis Humbert,Vernonia hispidula Drake,Vernonia hispidula Drake,Gymnanthemum hispidulum (Drake) H.Rob.,Gymnanthemum hispidulum,Vernonia fandrarazanensis Humbert,Vernonia fandrarazanensis,Gymnanthemum,Vernonia
35064,Erigeron persicifolius Benth.,Nidorella attenuata (DC.) J.C.Manning & Goldblatt,Nidorella attenuata (DC.) J.C.Manning & Goldblatt,Nidorella attenuata (DC.) J.C.Manning & Goldblatt,Nidorella attenuata,Conyza attenuata DC.,Conyza attenuata,Nidorella,Conyza
35086,Artemisia afghanica Rech.f. & Köie,Seriphidium korshinskyi (Krasch. ex Poljakov) Y.R.Ling,Seriphidium korshinskyi (Krasch. ex Poljakov) Y.R.Ling,Seriphidium korshinskyi (Krasch. ex Poljakov) Y.R.Ling,Seriphidium korshinskyi,Artemisia afghanica Rech.f. & Köie,Artemisia afghanica,Seriphidium,Artemisia
35115,Senecio floribundus (Kunth) Sch.Bip. ex Hieron.,Critoniopsis floribunda (Kunth) H.Rob.,Critoniopsis floribunda (Kunth) H.Rob.,Critoniopsis floribunda (Kunth) H.Rob.,Critoniopsis floribunda,Synotis triligulata (Buch.-Ham. ex D.Don) C.Jeffrey & Y.L.Chen,Synotis triligulata,Critoniopsis,Synotis
35141,Vernonia rochonioides subsp. rochonioides ,Distephanus rochonioides (Humbert) H.Rob. & B.Kahn,Distephanus rochonioides (Humbert) H.Rob. & B.Kahn,Distephanus rochonioides (Humbert) H.Rob. & B.Kahn,Distephanus rochonioides,Vernonia rochonioides Humbert,Vernonia rochonioides,Distephanus,Vernonia
35223,Matricaria sevanensis (Manden.) Rauschert,Tripleurospermum sevanense (Manden.) Pobed.,Tripleurospermum sevanense (Manden.) Pobed.,Tripleurospermum sevanense (Manden.) Pobed.,Tripleurospermum sevanense,Matricaria sevanensis (Manden.) Rauschert,Matricaria sevanensis,Tripleurospermum,Matricaria
35247,Vernonia divaricata Sw.,Lepidaploa arborescens (L.) H.Rob.,Lepidaploa arborescens (L.) H.Rob.,Lepidaploa arborescens (L.) H.Rob.,Lepidaploa arborescens,Vernonia arborescens (L.) Sw.,Vernonia arborescens,Lepidaploa,Vernonia
35250,Cacalia brachylepis (Griseb.) Kuntze,Centratherum punctatum Cass.,Centratherum punctatum Cass.,Centratherum punctatum Cass.,Centratherum punctatum,Vernonia brachylepis Griseb.,Vernonia brachylepis,Centratherum,Vernonia
35289,Solidago camporum (Greene) A.Nelson,Euthamia gymnospermoides Greene,Euthamia gymnospermoides Greene,Euthamia gymnospermoides Greene,Euthamia gymnospermoides,Solidago camporum (Greene) A.Nelson,Solidago camporum,Euthamia,Solidago
